timestamp_utc,run_id,protocol,sf_elo,anchor_elo,tc,tc_mode,threads,games,w,l,d,score_pct,perf,artifact,source,notes,git_sha
2026-06-24T11:33:31.403914+00:00,confirm_sf2600_32g,gauntlet_3+2,2600,2600,3+2,wtime,4,32,10,12,10,46.9,2578,confirm_sf2600_32g.txt,txt,,
2026-06-24T15:41:20.220165+00:00,gate_sf2500_32g,gauntlet_3+2,2500,2500,3+2,wtime,4,32,11,10,11,51.6,2511,gate_sf2500_32g.txt,txt,,
2026-06-25T03:28:29.990764+00:00,gate_sf2600_nnue_16g_b,gauntlet_3+2,2600,2600,3+2,wtime,4,16,3,7,6,37.5,2511,gate_sf2600_nnue_16g_b.txt,txt,,
2026-06-25T06:17:06.195299+00:00,gate_sf2600_classical_32g,gauntlet_3+2,2600,2600,3+2,wtime,4,32,11,12,9,48.4,2589,gate_sf2600_classical_32g.txt,txt,,
2026-06-25T10:28:38.876142+00:00,gate_sf2600_cmh_16g,gauntlet_3+2,2600,2600,3+2,wtime,4,16,1,8,7,28.1,2437,gate_sf2600_cmh_16g.txt,txt,,
2026-06-25T11:06:34.331331+00:00,gate_sf2500_verify_16g,gauntlet_3+2,2500,2500,3+2,wtime,4,16,5,4,7,53.1,2522,gate_sf2500_verify_16g.txt,txt,,
2026-06-25T11:41:51.260325+00:00,gate_sf2500_verify_32g,gauntlet_3+2,2500,2500,3+2,wtime,4,32,11,8,13,54.7,2533,gate_sf2500_verify_32g.txt,txt,,
2026-06-25T13:03:46.760605+00:00,gate_sf2500_v060_16g,gauntlet_3+2,2500,2500,3+2,wtime,4,16,6,3,7,59.4,2566,gate_sf2500_v060_16g.txt,txt,,
2026-06-25T13:49:32.290937+00:00,gate_sf2500_v060_32g,gauntlet_3+2,2500,2500,3+2,wtime,4,32,15,8,9,60.9,2577,gate_sf2500_v060_32g.txt,txt,,
2026-06-25T18:49:02.769901+00:00,gate_sf2600_idtime_16g,gauntlet_3+2,2600,2600,3+2,wtime,4,16,7,5,4,56.2,2644,gate_sf2600_idtime_16g.txt,txt,,
2026-06-25T19:26:56.888164+00:00,gate_sf2600_idtime_32g,gauntlet_3+2,2600,2600,3+2,wtime,4,32,13,9,10,56.2,2644,gate_sf2600_idtime_32g.txt,txt,,
